timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;Right;Left;Random;Middle
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4072;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4474;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4087;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4112;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4602;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4320;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4194;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4119;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4359;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4266;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4137;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4242;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4112;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4119;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4093;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4208;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4087;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Middle;Unknown;SINGLE;4160;;;;;;;
;;;;;;;;;AVG;4148;;;;;;;
;;;;;;;;;MIN;4068;;;;;;;
;;;;;;;;;MAX;4602;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6355;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6933;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6339;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6286;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;7302;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6287;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6383;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6269;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6358;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6350;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6258;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6495;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6268;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6850;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6286;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6354;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6317;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6264;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;7708;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6292;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6408;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6297;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6283;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6344;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6268;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6396;;;;;;;
