timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21360;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21542;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21356;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;22589;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21567;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21827;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21526;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21610;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21523;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21443;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21591;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21505;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21565;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21447;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21573;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21421;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21812;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21475;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21644;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21383;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21493;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21474;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21448;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21704;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21508;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21607;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21454;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21608;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21428;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21588;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21497;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21414;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;22312;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21360;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21357;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21347;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;string;Random;50;Middle;Unknown;SINGLE;21535;;;;;;;
;;;;;;;;;AVG;21569;;;;;;;
;;;;;;;;;MIN;21347;;;;;;;
;;;;;;;;;MAX;22589;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;unsignedInt;Random;50;Middle;Unknown;SINGLE;8246;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;unsignedInt;Random;50;Middle;Unknown;SINGLE;8277;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;unsignedInt;Random;50;Middle;Unknown;SINGLE;8243;;;;;;;
