timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;;;
;;;;;;;;;MAX;2864;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1758;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1759;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1756;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1808;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1801;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1769;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1754;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1752;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1757;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1760;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1760;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1812;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1749;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1745;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1755;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1798;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1750;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1753;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1819;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1756;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1757;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1755;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1785;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1750;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1755;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1834;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1757;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1748;;;;;;
19.04.2026 18:01;QuickSort;DoubleList;10000;int;Random;50;Middle;Unknown;SINGLE;1789;;;;;;
